dtxsid,measurement,observation,sample,sampleType,substanceName,unit,value
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L204767401R.AAWH.20201029.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL204767401R.20201029.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL204767401R.20201029>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L221989502.AAWH.20220415.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL221989502.20220415.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL221989502.20220415>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236408401.AAWH.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236408401.20230922.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236408401.20230922>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.061
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223951702.AAWH.20220720.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223951702.20220720.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223951702.20220720>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.062
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236481201.AAWH.20231101.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236481201.20231101.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236481201.20231101>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.063
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L204309802.AAWH.20201008.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL204309802.20201008.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL204309802.20201008>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.065
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L237326402.AAWH.20231012.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL237326402.20231012.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL237326402.20231012>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.065
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234061704.AAWH.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234061704.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234061704.20230713>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.065
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233683205.AAWH.20230622.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233683205.20230622.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233683205.20230622>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.065
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L234061704.AAWH.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL234061704.20230713.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL234061704.20230713>,SOIL,Perfluorobutanesulfonic acid,ng/L,0.065
