testPoint,feature,observation,substance,concentration,unit
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,5.41,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.2706903,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPEA_A,1.96,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.307244,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,3.32,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,20.2,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,5.06,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.375224,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,2.59,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.375859,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,2.9,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,25.6,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,33.6,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,33.6,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,4.83,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,2.01,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,4.83,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,6.84,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,6.84,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,1.96,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,3.08,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,2.01,http://qudt.org/vocab/unit/NanoGM-PER-L
