observation,feature,sample,property,substance,result,value,unit,sampleMaterialType,samplePoint
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.68259121,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFNS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.68259121,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.72629948,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFTRIA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.72629948,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.754916,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOSA,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.754916,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.757124724,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL210144001R.20210112,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.4-2_FTS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L210144001R.AA.20210112.757124724,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.1763231,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.1763231,351.0,http://qudt.org/vocab/unit/NanoGM-PER-L,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.2058948,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFUNDA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.2058948,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.2355319,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.N-MeFOSAA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.2355319,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.2706903,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPEA_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.2706903,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.2706914,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPES_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.2706914,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.27619972,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAL211038501.20210303,http://w3id.org/coso/v1/contaminoso#SingleContaminantConcentrationQuantityKind,http://w3id.org/sawgraph/v1/me-egad-data#parameter.6-2_FTS_A,http://w3id.org/sawgraph/v1/me-egad-data#result.L211038501.AA.20210303.27619972,http://w3id.org/coso/v1/contaminoso#non-detect,,http://w3id.org/sawgraph/v1/me-egad-data#sampleMaterialType.MLK,http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668
