feature,featureType,sample,date,cumulativeConcentration,unit
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148595,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222535601.20220511,2022-05-11T14:25:00,51.99,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147603,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222560301.20220512,2022-05-12T12:30:00,1468.67,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147601,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222560302.20220512,2022-05-12T12:35:00,26.93,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147602,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222560303.20220512,2022-05-12T12:45:00,22.04,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147600,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222560601.20220512,2022-05-12T12:00:00,5443.42,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147665,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222560701.20220512,2022-05-12T14:00:00,880.42,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147984,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222660006.20220518,2022-05-18T14:05:00,601.13,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147906,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222743001.20220524,2022-05-24T11:25:00,531.776,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.113231,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222795302.20220524,2022-05-24T15:00:00,35.415,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148509,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222795901.20220524,2022-05-24T15:15:00,46.041,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147970,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222906113.20220531,2022-05-31T16:50:00,37.33,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147999,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222959601.20220606,2022-06-06T12:45:00,233.151,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147882,WETLAND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222975401.20220607,2022-06-07T11:20:00,2159.85,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.147882,WETLAND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL222975401RE.20220607,2022-06-07T11:20:00,1332.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.40534,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223034101.20220608,2022-06-08T11:19:00,25605.1,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.40499,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223034102.20220608,2022-06-08T11:42:00,12332.4,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.40499,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223034102RE.20220608,2022-06-08T11:42:00,172950.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.40499,DETENTION POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223034102RED.20220608,2022-06-08T11:42:00,22600.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148144,STREAM,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223458206.20220628,2022-06-28T13:30:00,94.14,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.103588,IMPOUNDMENT,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223509910.20220630,2022-06-30T10:00:00,37.74,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148306,LEACHATE POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223628006.20220706,2022-07-06T13:35:00,5360.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.85760,LAKE,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223700701.20220630,2022-06-30T14:30:00,78.63,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.65479,RIVER,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223700702.20220629,2022-06-29T14:00:00,103.587,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148377,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223701014.20220711,2022-07-11T14:07:00,462.71,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148401,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223836001.20220718,2022-07-18T13:30:00,85.774,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148402,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223836002.20220718,2022-07-18T13:40:00,505.793,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.65481,RIVER,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223923701.20220720,2022-07-20T10:20:00,36.62,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146519,IMPOUNDMENT,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223923702.20220720,2022-07-20T11:30:00,25.464,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148670,POND,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224143901.20220727,2022-07-27T14:30:00,474.19,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.65574,RIVER,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224152301.20220802,2022-08-02T10:16:00,45.994,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.65561,RIVER,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224152303.20220802,2022-08-02T11:25:00,25.344,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.149101,RIVER,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224244901.20220803,2022-08-03T10:31:00,101.154,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.65454,RIVER,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224244902.20220803,2022-08-03T11:06:00,25.798,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.148549,RIVER,http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL224244903.20220803,2022-08-03T11:26:00,21.466,http://qudt.org/vocab/unit/NanoGM-PER-L
